order_id,order_date,category,product,unit_price_try,quantity,discount_pct,revenue_try,region,channel,customer_rating
ORD-12034,2025-01-01,Sports & Outdoor,Fitness Band,541.82,2,0,1083.64,Central Anatolia,Mobile App,3
ORD-11003,2025-01-01,Electronics,Wireless Earbuds,1066.01,1,0,1066.01,Eastern Anatolia,Mobile App,5
ORD-10957,2025-01-02,Beauty,Sunscreen,327.63,2,0,655.26,Central Anatolia,Mobile App,4
ORD-10252,2025-01-02,Electronics,Smart Watch,584.23,1,0,584.23,Mediterranean,Mobile App,4
ORD-12089,2025-01-02,Sports & Outdoor,Bike Lock,417.15,1,0,417.15,Central Anatolia,Website,4
ORD-10807,2025-01-02,Sports & Outdoor,Fitness Band,248.26,1,10,223.43,Mediterranean,Website,5
ORD-10220,2025-01-03,Apparel,Sweatshirt,107.56,1,0,107.56,Central Anatolia,Website,4
ORD-12162,2025-01-03,Beauty,Sunscreen,194.13,1,0,194.13,Marmara,Desktop,3
ORD-10152,2025-01-04,Electronics,Bluetooth Speaker,1095.6,1,0,1095.6,Black Sea,Mobile App,3
ORD-10856,2025-01-05,Electronics,Phone Case,905.2,1,0,905.2,Black Sea,Mobile App,4
ORD-10201,2025-01-07,Apparel,Sock Set,298.24,1,10,268.42,Marmara,Mobile App,5
ORD-10338,2025-01-07,Home & Living,Storage Box Set,167.61,1,0,167.61,Marmara,Website,5
ORD-12313,2025-01-07,Electronics,Bluetooth Speaker,789.35,1,0,789.35,Southeastern Anatolia,Mobile App,5
ORD-10416,2025-01-08,Electronics,Phone Case,649.32,1,0,649.32,Eastern Anatolia,Desktop,3
ORD-10351,2025-01-08,Electronics,Smart Watch,982.5,1,0,982.5,Black Sea,Mobile App,2
ORD-11051,2025-01-09,Beauty,Shampoo,134.17,1,0,134.17,Marmara,Website,4
ORD-11259,2025-01-09,Home & Living,LED Desk Lamp,403.71,1,0,403.71,Mediterranean,Desktop,4
ORD-11772,2025-01-10,Electronics,Bluetooth Speaker,1055.19,2,0,2110.38,Marmara,Desktop,3
ORD-11941,2025-01-10,Apparel,Basic T-Shirt,180.85,1,0,180.85,Aegean,Mobile App,2
ORD-10991,2025-01-12,Apparel,Sweatshirt,155.97,1,30,109.18,Aegean,Website,4
ORD-10042,2025-01-13,Beauty,Face Serum,71.71,1,0,71.71,Marmara,Mobile App,5
ORD-11565,2025-01-13,Home & Living,Storage Box Set,432.95,2,15,736.02,Marmara,Desktop,3
ORD-10795,2025-01-13,Electronics,Wireless Earbuds,624.81,1,0,624.81,Black Sea,Website,3
ORD-10018,2025-01-13,Beauty,Lipstick,165.62,1,20,132.5,Black Sea,Website,2
ORD-11067,2025-01-16,Electronics,Power Bank,1083.03,1,0,1083.03,Central Anatolia,Desktop,5
ORD-11969,2025-01-16,Electronics,Phone Case,484.23,1,0,484.23,Southeastern Anatolia,Website,2
ORD-11927,2025-01-16,Beauty,Shampoo,117.04,2,0,234.08,Mediterranean,Mobile App,4
ORD-10551,2025-01-17,Home & Living,LED Desk Lamp,224.99,2,0,449.98,Central Anatolia,Mobile App,5
ORD-10664,2025-01-17,Home & Living,Storage Box Set,197.5,1,0,197.5,Marmara,Mobile App,5
ORD-10464,2025-01-17,Electronics,Wireless Earbuds,355.62,1,0,355.62,Black Sea,Website,5
ORD-10904,2025-01-17,Apparel,Sweatshirt,257.57,1,0,257.57,Marmara,Website,5
ORD-10885,2025-01-18,Sports & Outdoor,Bike Lock,575.59,2,0,1151.18,Central Anatolia,Website,5
ORD-12291,2025-01-19,Electronics,Power Bank,319.69,1,0,319.69,Marmara,Desktop,1
ORD-10075,2025-01-19,Home & Living,LED Desk Lamp,262.27,1,0,262.27,Marmara,Mobile App,5
ORD-11847,2025-01-20,Electronics,Power Bank,882.33,1,0,882.33,Southeastern Anatolia,Website,4
ORD-11984,2025-01-20,Beauty,Moisturizing Cream,180.5,1,20,144.4,Southeastern Anatolia,Mobile App,5
ORD-10915,2025-01-20,Home & Living,Aroma Diffuser,175.5,1,0,175.5,Southeastern Anatolia,Website,4
ORD-11525,2025-01-20,Apparel,Basic T-Shirt,94.32,1,20,75.46,Aegean,Website,2
ORD-10250,2025-01-21,Beauty,Sunscreen,72.5,1,15,61.62,Marmara,Desktop,5
ORD-10034,2025-01-22,Apparel,Sports Shorts,342.17,1,15,290.84,Central Anatolia,Website,4
ORD-10655,2025-01-22,Home & Living,Storage Box Set,221.43,1,0,221.43,Black Sea,Desktop,5
ORD-10679,2025-01-22,Electronics,Phone Case,886.45,1,30,620.52,Marmara,Website,5
ORD-11477,2025-01-23,Home & Living,Storage Box Set,166.3,1,0,166.3,Central Anatolia,Website,4
ORD-12268,2025-01-24,Electronics,Phone Case,1038.28,2,0,2076.56,Black Sea,Mobile App,5
ORD-10318,2025-01-24,Apparel,Sweatshirt,99.97,1,0,99.97,Marmara,Mobile App,5
ORD-12393,2025-01-24,Home & Living,Aroma Diffuser,438.96,1,0,438.96,Mediterranean,Website,5
ORD-10946,2025-01-24,Sports & Outdoor,Yoga Mat,477.08,1,15,405.52,Marmara,Website,5
ORD-12157,2025-01-24,Home & Living,Storage Box Set,312.54,1,0,312.54,Aegean,Mobile App,4
ORD-12021,2025-01-25,Beauty,Shampoo,103.79,1,0,103.79,Aegean,Website,4
ORD-10736,2025-01-25,Beauty,Sunscreen,196.11,1,0,196.11,Marmara,Website,4
ORD-10282,2025-01-25,Electronics,Phone Case,233.96,1,0,233.96,Central Anatolia,Desktop,2
ORD-11021,2025-01-25,Sports & Outdoor,Fitness Band,107.67,1,15,91.52,Central Anatolia,Mobile App,5
ORD-10580,2025-01-25,Home & Living,Storage Box Set,316.18,1,0,316.18,Marmara,Website,4
ORD-11768,2025-01-25,Electronics,Wireless Earbuds,975.49,1,0,975.49,Central Anatolia,Website,2
ORD-10378,2025-01-26,Electronics,Bluetooth Speaker,329.11,2,0,658.22,Black Sea,Website,4
